Boutique,"ID",Piece,Room,Nom,Name,L,P,H,Description FR,Description ENG,tags,couleur_ossature,porte (O/N),fond,joue1,joue2,socle,dessus,# tiroir,hauteur_tiroir,# tablette,Options
O,001,Chambre,Bedroom,Table Chevet,Bedside table,300,300,500,,,,brut,,,,,,O,1,84,1,
O,002,Chambre,Bedroom,Table Chevet,Bedside table,350,350,500,,,,brut,,,,,,O,1,84,1,
O,003,Chambre,Bedroom,Table Chevet,Bedside table,400,400,600,,,,brut,,,,,,O,2,110,1,
O,004,Chambre,Bedroom,Commode,Chest of drawers,500,350,800,,,,brut,,,,,O,O,2,110,1,
O,005,Chambre,Bedroom,Commode,Chest of drawers,600,400,850,,,,brut,,,,,O,O,2,136,1,
,006,Chambre,Bedroom,Commode,Chest of drawers,800,400,900,,,,brut,,,,,O,O,2,214,2,
O,007,Chambre,Bedroom,Dressing,Wardrobe,600,400,1800,,,,brut,,,O,O,,,2,214,4,
O,008,Chambre,Bedroom,Dressing,Wardrobe,800,450,1900,,,,brut,,,O,O,,,2,214,4,
O,009,Chambre,Bedroom,Dressing,Wardrobe,1200,500,2000,,,,brut,,,O,O,,,2,214,4,
O,010,Chambre,Bedroom,Coffre,Chest,600,400,400,,,,,,,,,,O,0,,0,
,011,Chambre,Bedroom,Lit,Bed,,,,,,,,,,,,,,,,,
O,012,Couloir / entrée,Hall / entry,Servante,Sideboard,300,300,800,,,,brut,,,,,O,O,2,,,
O,013,Couloir / entrée,Hall / entry,Servante,Sideboard,400,400,800,,,,brut,,,,,O,O,2,,,
O,014,Couloir / entrée,Hall / entry,Servante,Sideboard,450,450,800,,,,brut,,,,,O,O,2,,,
O,015,Couloir / entrée,Hall / entry,Bibliothèque,Bookcase,300,300,1800,,,,brut,,,,,O,,,,5,
O,016,Couloir / entrée,Hall / entry,Bibliothèque,Bookcase,400,400,1800,,,,brut,,,,,O,,,,5,
O,017,Couloir / entrée,Hall / entry,Bibliothèque,Bookcase,400,400,2000,,,,brut,,,,,O,,,,5,
O,018,Couloir / entrée,Hall / entry,Banc,Bench,800,350,450,,,,brut,,,,,,,,,,
O,019,Couloir / entrée,Hall / entry,Banc,Bench,1200,350,450,,,,brut,,,,,,,,,,
,020,Couloir / entrée,Hall / entry,Banc,Bench,,,,,,,,,,,,,,,,,
O,021,Bureau,Study,Bureau,Desk,,,,,,,,,,,,,,,,,
,022,Bureau,Study,Etagère,Shelving,,,,,,,,,,,,,,,,,
,023,Bureau,Study,Bureau intégré,Build-in desk,,,,,,,,,,,,,,,,,
O,024,Salon,Living room,Table basse,Coffee table,,,,,,,,,,,,,,,,,
,025,Salon,Living room,Buffet,Sideboard,,,,,,,,,,,,,,,,,
,026,Salon,Living room,Siège,Seat,,,,,,,,,,,,,,,,,
,027,Salon,Living room,Chaise haute,High chair,,,,,,,,,,,,,,,,,
,028,Salon,Living room,Armoire,Cupboard,,,,,,,,,,,,,,,,,
,029,Salon,Living room,Table,Table,,,,,,,,,,,,,,,,,
,030,Salon,Living room,Banc,Bench,,,,,,,,,,,,,,,,,
O,031,Cuisine,Kitchen,Meuble bas,Base unit,600,450,900,,,,brut,,O,O,O,O,O,3,240,0,
,032,Cuisine,Kitchen,Meuble haut,Wall unit,,,,,,,,,,,,,,,,,
,033,Cuisine,Kitchen,Cave à vins,Wine cabinet,,,,,,,,,,,,,,,,,
,034,Cuisine,Kitchen,Servante,Sideboard,,,,,,,,,,,,,,,,,
,035,Cuisine,Kitchen,Organisation hexagonale,Hexagonal organiser,,,,,,,,,,,,,,,,,
,036,Cuisine,Kitchen,Organisation Cadre,Frame organiser,,,,,,,,,,,,,,,,,
,037,Cuisine,Kitchen,Bar,Bar,,,,,,,,,,,,,,,,,
,038,Extérieur,Outdoor,Coffre,Chest,,,,,,,,,,,,,,,,,
,039,Extérieur,Outdoor,Assise,Seat,,,,,,,,,,,,,,,,,
,040,Extérieur,Outdoor,Banc,Bench,,,,,,,,,,,,,,,,,
,041,Extérieur,Outdoor,Servante,Sideboard,,,,,,,,,,,,,,,,,
,042,Extérieur,Outdoor,Chaise haute,High chair,,,,,,,,,,,,,,,,,
,043,Buanderie,Laundry,Meuble technique,Utility cainet,,,,,,,,,,,,,,,,,
,044,Buanderie,Laundry,Plan de travail,Worktop,,,,,,,,,,,,,,,,,
,045,Salle de bain,Bathroom,Meuble vasque,Vanity unit,,,,,,,,,,,,,,,,,
,046,Salle de bain,Bathroom,Meuble haut,Wall unit,,,,,,,,,,,,,,,,,
,047,Restaurant,Restaurant,Table,Table,,,,,,,,,,,,,,,,,
,048,Restaurant,Restaurant,Chaise empillabe,Stackable chair,,,,,,,,,,,,,,,,,
,049,Célier,Pantry,Etagere,Shelving,,,,,,,,,,,,,,,,,
,050,Célier,Pantry,Plan de travail,Worktop,,,,,,,,,,,,,,,,,
,051,WC,WC,PQ,Toilet-toll holder,,,,,,,,,,,,,,,,,
,052,WC,WC,Lave-main,Washbasin,,,,,,,,,,,,,,,,,
O,053,Autres,Other,Cube,Cube,400,400,400,,,,,,,,,,,,,,
O,054,Autres,Other,Cube,Cube,800,800,800,,,,,,,,,,,,,,
O,055,Autres,Other,Cube,Cube,1400,1400,1400,,,,,,,,,,,,,,
O,056,Autres,Other,Cube,Cube,2000,2000,2000,,,,,,,,,,,,,,
,057,Autres,Other,Installation artistique,Art installation,,,,,,,,,,,,,,,,,
